Dataset,DNN,CMR,FT(%)
MNIST,MNIST_AlexNet_9938,165,17.476489028213166
MNIST,MNIST_AlexNet_9938,201,2.8996865203761755
MNIST,MNIST_AlexNet_9938,203,0.7053291536050157
MNIST,MNIST_AlexNet_9938,204,6.974921630094045
MNIST,MNIST_AlexNet_9938,205,5.407523510971787
MNIST,MNIST_AlexNet_9938,206,9.482758620689655
MNIST,MNIST_AlexNet_9938,210,2.8996865203761755
MNIST,MNIST_AlexNet_9938,213,1.5673981191222568
MNIST,MNIST_AlexNet_9938,214,15.282131661442005
MNIST,MNIST_AlexNet_9938,215,5.6426332288401255
MNIST,MNIST_AlexNet_9938,216,8.22884012539185
MNIST,MNIST_AlexNet_9938,230,0.7836990595611284
MNIST,MNIST_AlexNet_9938,231,1.8025078369905956
MNIST,MNIST_AlexNet_9938,234,3.683385579937304
MNIST,MNIST_AlexNet_9938,235,1.1755485893416928
MNIST,MNIST_AlexNet_9938,236,2.4294670846394983
MNIST,MNIST_AlexNet_9938,240,6.974921630094045
MNIST,MNIST_AlexNet_9938,241,15.360501567398119
MNIST,MNIST_AlexNet_9938,243,3.4482758620689653
MNIST,MNIST_AlexNet_9938,245,8.699059561128527
MNIST,MNIST_AlexNet_9938,246,11.285266457680251
MNIST,MNIST_AlexNet_9938,250,4.93730407523511
MNIST,MNIST_AlexNet_9938,251,5.721003134796239
MNIST,MNIST_AlexNet_9938,253,0.9404388714733543
MNIST,MNIST_AlexNet_9938,254,9.404388714733543
MNIST,MNIST_AlexNet_9938,256,15.517241379310345
MNIST,MNIST_AlexNet_9938,260,8.934169278996865
MNIST,MNIST_AlexNet_9938,261,8.150470219435736
MNIST,MNIST_AlexNet_9938,263,1.7241379310344827
MNIST,MNIST_AlexNet_9938,264,11.285266457680251
MNIST,MNIST_AlexNet_9938,265,15.673981191222571
MNIST,MNIST_AlexNet_9938,301,2.037617554858934
MNIST,MNIST_AlexNet_9938,302,0.7836990595611284
MNIST,MNIST_AlexNet_9938,304,3.526645768025078
MNIST,MNIST_AlexNet_9938,305,1.1755485893416928
MNIST,MNIST_AlexNet_9938,306,2.8996865203761755
MNIST,MNIST_AlexNet_9938,310,1.8808777429467085
MNIST,MNIST_AlexNet_9938,312,1.6457680250783697
MNIST,MNIST_AlexNet_9938,314,18.887147335423197
MNIST,MNIST_AlexNet_9938,315,3.1347962382445136
MNIST,MNIST_AlexNet_9938,316,3.9968652037617556
MNIST,MNIST_AlexNet_9938,320,0.7836990595611284
MNIST,MNIST_AlexNet_9938,321,1.8025078369905956
MNIST,MNIST_AlexNet_9938,324,3.761755485893417
MNIST,MNIST_AlexNet_9938,325,1.018808777429467
MNIST,MNIST_AlexNet_9938,326,2.586206896551724
MNIST,MNIST_AlexNet_9938,340,3.1347962382445136
MNIST,MNIST_AlexNet_9938,341,18.730407523510973
MNIST,MNIST_AlexNet_9938,342,3.761755485893417
MNIST,MNIST_AlexNet_9938,345,4.075235109717868
