Dataset,DNN,CMR,FR(%)
MNIST,MNIST_AlexNet_9938,234,0.47000000000000003
MNIST,MNIST_AlexNet_9938,235,0.15
MNIST,MNIST_AlexNet_9938,236,0.31
MNIST,MNIST_AlexNet_9938,240,0.89
MNIST,MNIST_AlexNet_9938,241,1.96
MNIST,MNIST_AlexNet_9938,243,0.44
MNIST,MNIST_AlexNet_9938,245,1.11
MNIST,MNIST_AlexNet_9938,246,1.44
MNIST,MNIST_AlexNet_9938,250,0.63
MNIST,MNIST_AlexNet_9938,251,0.73
MNIST,MNIST_AlexNet_9938,253,0.12
MNIST,MNIST_AlexNet_9938,254,1.2
MNIST,MNIST_AlexNet_9938,256,1.9800000000000002
MNIST,MNIST_AlexNet_9938,260,1.1400000000000001
MNIST,MNIST_AlexNet_9938,261,1.04
MNIST,MNIST_AlexNet_9938,263,0.22
MNIST,MNIST_AlexNet_9938,264,1.44
MNIST,MNIST_AlexNet_9938,265,2.0
MNIST,MNIST_AlexNet_9938,301,0.26
MNIST,MNIST_AlexNet_9938,302,0.1
MNIST,MNIST_AlexNet_9938,304,0.44999999999999996
MNIST,MNIST_AlexNet_9938,305,0.15
MNIST,MNIST_AlexNet_9938,306,0.37
MNIST,MNIST_AlexNet_9938,310,0.24
MNIST,MNIST_AlexNet_9938,312,0.21
MNIST,MNIST_AlexNet_9938,314,2.41
MNIST,MNIST_AlexNet_9938,315,0.4
MNIST,MNIST_AlexNet_9938,316,0.51
MNIST,MNIST_AlexNet_9938,320,0.1
MNIST,MNIST_AlexNet_9938,321,0.22999999999999998
MNIST,MNIST_AlexNet_9938,324,0.48
MNIST,MNIST_AlexNet_9938,325,0.13
MNIST,MNIST_AlexNet_9938,326,0.33
MNIST,MNIST_AlexNet_9938,340,0.4
MNIST,MNIST_AlexNet_9938,341,2.39
MNIST,MNIST_AlexNet_9938,342,0.48
MNIST,MNIST_AlexNet_9938,345,0.52
MNIST,MNIST_AlexNet_9938,346,0.65
MNIST,MNIST_AlexNet_9938,350,0.16
MNIST,MNIST_AlexNet_9938,351,0.41000000000000003
MNIST,MNIST_AlexNet_9938,352,0.18
MNIST,MNIST_AlexNet_9938,354,0.54
MNIST,MNIST_AlexNet_9938,356,0.37
MNIST,MNIST_AlexNet_9938,360,0.3
MNIST,MNIST_AlexNet_9938,361,0.5
MNIST,MNIST_AlexNet_9938,362,0.33999999999999997
MNIST,MNIST_AlexNet_9938,364,0.58
MNIST,MNIST_AlexNet_9938,365,0.38
MNIST,MNIST_AlexNet_9938,401,1.6199999999999999
MNIST,MNIST_AlexNet_9938,402,0.9199999999999999
MNIST,MNIST_AlexNet_9938,403,0.41000000000000003
MNIST,MNIST_AlexNet_9938,405,1.1400000000000001
MNIST,MNIST_AlexNet_9938,406,1.5599999999999998
MNIST,MNIST_AlexNet_9938,410,1.63
MNIST,MNIST_AlexNet_9938,412,1.96
MNIST,MNIST_AlexNet_9938,413,2.21
MNIST,MNIST_AlexNet_9938,415,2.25
MNIST,MNIST_AlexNet_9938,416,2.44
MNIST,MNIST_AlexNet_9938,420,0.9400000000000001
MNIST,MNIST_AlexNet_9938,421,1.95
MNIST,MNIST_AlexNet_9938,423,0.44
MNIST,MNIST_AlexNet_9938,425,1.1400000000000001
MNIST,MNIST_AlexNet_9938,426,1.4200000000000002
MNIST,MNIST_AlexNet_9938,430,0.45999999999999996
